user_id,date_key
14847381,20171011
16333494,20171011
15785146,20171019
14046171,20171019
16283709,20171020
15225775,20171020
14933835,20171021
1691127,20171021
15284301,20171022
15706399,20171022
15787928,20171022
15791426,20171022
14657782,20171022
13803757,20171023
16189199,20171023
13208401,20171023
14286833,20171024
1919588,20171024
15323150,20171024
15427855,20171025
14274931,20171025
16261278,20171026
16239849,20171026
15723552,20171026
16319035,20171026
586304,20171026
3616218,20171026
15229757,20171027
14975947,20171027
11668207,20171027
15623076,20171027
15029841,20171027
8836292,20171027
13398821,20171027
3635642,20171027
4434940,20171028
13008556,20171028
16066582,20171028
6004394,20171029
15787639,20171029
12271508,20171029
14419930,20171029
16408499,20171030
14947271,20171030
14813608,20171031
5311132,20171031
1376439,20171031
3248862,20171101
16381774,20171101
16153116,20171101
12178126,20171101
9593743,20171102
15942482,20171102
16474509,20171102
16140287,20171102
16527841,20171103
12098236,20171103
13981837,20171103
13920778,20171103
13891136,20171103
16249012,20171103
16042558,20171103
15324089,20171103
12454321,20171103
10156096,20171104
16402355,20171104
11654091,20171104
14804836,20171104
16210961,20171105
15507253,20171105
11338447,20171105
743032,20171105
16321907,20171105
16153487,20171105
15154653,20171105
14459513,20171106
1164473,20171106
13823702,20171106
15329258,20171106
13332795,20171107
16431110,20171107
16338657,20171107
15454311,20171107
15223218,20171107
15030201,20171107
13787919,20171107
13736216,20171107
11530211,20171107
15099935,20171108
13856463,20171108
12189530,20171108
15106080,20171108
8065181,20171108
12802361,20171108
15945956,20171109
15686774,20171109
14533212,20171109
2889464,20171110
11361558,20171110
16315000,20171110
11199203,20171110
3004673,20171110
13855943,20171111
2925444,20171111
14531284,20171111
5619468,20171112
14272403,20171112
9989328,20171112
13891027,20171112
12666771,20171112
14579234,20171112
12405322,20171112
13278487,20171112
7775658,20171112
16178633,20171113
16094971,20171113
15102472,20171113
13103099,20171113
6676756,20171113
13947962,20171114
16285726,20171114
15819938,20171114
16277238,20171114
15336398,20171114
3974657,20171114
10900219,20171114
12890388,20171114
15567929,20171114
958351,20171115
6401782,20171115
16665997,20171115
16322474,20171115
13824327,20171115
15856851,20171115
8112076,20171115
13915880,20171115
14829917,20171116
11588511,20171116
16242221,20171116
16372754,20171116
16703452,20171117
15684998,20171117
15597096,20171117
5088346,20171117
13891065,20171118
15818742,20171118
16584724,20171118
16133242,20171119
13906855,20171119
14559617,20171120
13286346,20171120
7800906,20171120
15704447,20171120
12569125,20171120
16067220,20171120
14277260,20171120
8725089,20171120
16793461,20171120
8239103,20171121
16508252,20171121
9789358,20171121
2256109,20171121
16438539,20171121
15936554,20171121
14962690,20171121
3444028,20171121
6405647,20171121
14203284,20171121
13843611,20171121
14748564,20171121
16503217,20171122
15380339,20171122
8976221,20171122
14047741,20171122
16668611,20171122
16645754,20171122
16600011,20171122
15200806,20171122
16690265,20171122
14489804,20171122
16061455,20171122
14050197,20171123
16159672,20171123
12105111,20171123
15155306,20171123
14717265,20171123
10753303,20171123
16290580,20171124
16060343,20171124
16457289,20171125
15587894,20171125
12913894,20171125
14380025,20171125
3881549,20171125
13785371,20171125
12135495,20171126
15497121,20171126
15461985,20171126
14746753,20171126
13127413,20171126
9079708,20171126
16779292,20171126
13569048,20171126
1165137,20171127
16187690,20171127
14375601,20171127
13720992,20171127
8082403,20171127
11918832,20171128
14497308,20171128
13739955,20171128
15152948,20171128
15526112,20171128
15688687,20171129
9135565,20171129
13328392,20171129
12150859,20171129
14047701,20171129
4601130,20171129
12166333,20171129
14867271,20171130
14700874,20171130
16105495,20171130
15532656,20171130
16368093,20171201
16015893,20171201
13694997,20171201
13998843,20171201
16533025,20171201
9000221,20171201
16312039,20171202
13944208,20171202
12021437,20171202
5636609,20171202
16227654,20171202
14132157,20171202
15811156,20171203
15211405,20171203
7842876,20171203
16615804,20171204
